O O O O O O O O O O O O O O B-Medication O O O	@USER spoke with my nurse this morning ! We adjusted the rate on my zofran pump . :)
O O O O O O B-Medication O O O B-Medication I-Medication O O O O O O O O O O O O O O O O	@USER I'm not allowe to take laxatives so I take fiber gummies , which are sexy and exotic because here they're fibre gummies . Oh la la !
O O O O O O O O O O O O O O O O O O B-Medication I-Medication	@USER 😂 😂 😂 I hope that don't happen to me I'm running until I get back on birth control
B-Medication O O	Tums are triflin
O O O B-Medication I-Medication O O	Bouta take some night quil 🤘 🏽
O O B-Medication	@USER @USER sudafed
O O O O O O O O O O O O O O O O O O O O O O O B-Medication O	when you get given the worst cough in the universe and all you can take is honey and lemon with a side of paracetamol 😑
O O O B-Medication O O O O O	Should have taken Benadryl .. I need sleep !
O O O O O O O O O O O O O O O O O O O O O B-Medication O O O O	I woke up with the sorest throat and stiffest neck today . It actually feels worse now . Blah . # Advil # bed # ihateviruses
O O O O O O O O B-Medication O O O O O O O	I'm really chilling out on taking these damn Benadryls at night , they're becoming addictive .
O O O B-Medication O O O O O	Then got an epidural 🙋 ‍ ♀ ️ 👐
O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	@USER i hated depo , so i switched as soon as i could . And yeah ! it works for up to 3 years and you don't even notice it . I've heard
O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication O O O O O	@USER sorry you're suffering . 😔 I lost 35 pounds in January due to HG . Now , I'm 22 weeks & doing well with a zofran pump . I hope your
O O O O O B-Medication O	Broke my water and started pitocin 😁
O O O O O O O O O O O O O O B-Medication I-Medication I-Medication O O O O O O O O O O O	Okay , Soooo . . . I have a real-life friend who has started injections for IVF ! ! ! Please , please , please throw ... URL
O O O B-Medication O O O O O O O O B-Medication O O O O	@USER Watch the Tylenol ingestion with the day / night pills and acetaminophen together ! # nerdalert
O O O O O O O O B-Medication O	Yoooo , can somebody drop me off a Benadryl ?
O O O O O O O B-Medication I-Medication I-Medication O O O O O O O O O O O	Take advantage of the NEW @USER Redline White Heat Preworkout Promo ! URL # vpx # preworkout # fitness # whiteheat
O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	I did my first injection of Lupron today :D Feeling sooo proud of myself for being able to do it on my own ! ! ! I ... URL
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication	Woke up abruptly and panicking because I heard beeping . I thought it was an alarm . It was just time for a syringe change .. hah ! # zofranpump
B-Medication O O O O O O O O	Prenatals are doing magic to my hair 😍 😍
O O O O O O O O B-Medication O O O O O O O O O O O O O O O O O	I was definitely a lot faster prepping my Menopur . . . much smoother today , but my poor belly is starting to look ... URL
O O O O O O O B-Medication O O O O O O O O	@USER That's fantastic ! Did you take aspirin , shots , or nothing during pregnancy ?
O O O O O O O O O O O O O O O O B-Medication O O O O	Y'all ... 18 mg a day is not enough to get through the week . # ConcertaProblems # ADDandPregnant # Thursday
O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O	Sooooo .. my Zofran pump broke for the night . Relying on dissolvables until my new pump arrives . Here's to hoping this goes okay .
O O O O O O B-Medication O O O O	In quite a lot of pain painkilers don't touch it 😞
O O O O O O O O O O B-Medication O O O O O O O O O O O O	I really really want to cut my hair . These prenatals r keeping it growing and frankly ... It's too damn hot 🔥
O O O B-Medication O O O O O O O	are the strawberry gaviscon any nicer than the mint ones ?
O O O O O O O O O O O O O O O O O O O O B-Medication O	I love finding out via google that I'm going to be sick for the next week while I'm on this antibiotic 🙃
O O O O O O B-Medication O O O O O O O O O	@USER yeah I kno but that epidural will have yu like wtf where the perks at
O O O O B-Medication O O O O O O O O O O O	I'm so scared my epidural will wear off right before I have to push 🙈 😣
O O O O O O O O B-Medication O O O O O B-Medication O O O O O O O O	Please don't tell a woman with HG that Zofran is a big no and Diclegis works perfectly if you take it consistently .
O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O	@USER Awesome news ! Warfarin adjustment can be a pain in the butt for the first few weeks / months but hopefully they will level out soon .
O B-Medication O O O O O O O O	@USER Antibiotics make me even more hungry . Piggy :)
O O O O O B-Medication I-Medication O O O O O O O O	i need to get on birth control faaaaaaaassssst because this nigga be trying it 😩
O O O O O O O O O B-Medication O O O O O O O O O O O	I was thinking about slipping my dog a little ambien & just pulling her teeth myself . # thingsmymothersays # fb
B-Medication O O O O O O O O O O O O O O	Benadryl , bedtime snack , and New Girl . The party is getting real .
O O B-Medication O O O O O O O O O O O O O O O O O O O O	Taking # Zofran before bed helps me not puke in the morning , but I still feel nauseous all day . # pregnant
O O O O O O O O O O O B-Medication O O	@USER Been there . It sucks . Do you have any Gaviscon ? ?
O O O B-Medication I-Medication O O O O O O O O O	I hate these prenatal vitamins . They are so hard to swallow 😭 😭
O O O O B-Medication I-Medication O O O O O O O O O O O O	I don't have my nausea pills for tonight .. so I'm probably going to die tomorrow ... 😳
O O O O O O O O O O O O O B-Medication O O O O O O O O O O	@USER because i support weed . not tobacco . not cancer . not nicotine . weed is what you need .. not tobacco .
O O B-Medication O O O O O O O O O O O O	Doling out tums one by one to pregnant ladies is some real bullshit , Vanderbilt
O O O O O O O O O O O O O O O O O O O O O O O O B-Medication	@USER I don't envy you . Sinus congestion / infections / inflammation is so painful . Until you experience it you don't realize # Sudafed
O O O O O O O O O O O B-Medication I-Medication O O O O O O O O O	# WellnessWednesday : 5 Ways to Ease a Hangover ! Shop vitamin B → URL # health # hangover # HumpDay URL
O O O O O O O B-Medication I-Medication O O O O O O O O O O O	# HDSpecial ! @USER : Buy 1 COR Creatine , Get 1 50 % OFF ! Shop Now → URL
O O O B-Medication I-Medication O O O O O O O O O O O O O O O O O	Have you tried Gotu Kola ? There's so many benefits ! Shop now → URL # health # droz # TipTuesday URL
O O O O O O O O O O O O O O O O O O O O O O O O O O B-Medication O	@USER Hope you aren't too swollen tomorrow ! ! ! I've as much as possible for the first 24 hours ! ! And don't skip the Advil 😉
O O O O O O O O O O O O O O O O O O B-Medication O O O O	My man cold from last week had actually progressed to a full fledged ear infection . Hoping these antibiotics kick in soon .
O O O O O B-Medication O O	Retweet if you take # melatonin . URL
O O B-Medication O O O O O O O O O O	# NowPlaying Nicotine and Alcohol Saved My Life by Deaf Havana ♫ URL
O O O O O B-Medication O O O O O O O O O O O O O O O O O O O	I'm on day 5 of Lupron and the only significant symptom I'm feeling is that my bones hurt :| My shoulder and hips ... URL
O O O O O O O O O O O O O O B-Medication O O O	Chewing these like a champ to get through this game . # stress # Gaviscon # raptors URL
O O O O O B-Medication O O O O O O O O O O O	Bloody toothache keeping me awake painkillers aren't working swirling brandy isn't working . I need sleep .
O O O O O O O O O B-Medication O O O O O O O O O O O O O O O O O O O	After 17.5 weeks , I said goodbye to my Zofran pump yesterday . I think I'm gonna miss that guy for the rest of this pregnancy . # hglife
O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O O	@USER I don't want an epidural 😂 😂 😭 I swear I'm sooo serious . I already made my birth plan , I don't want them asking me about an
O O O O O B-Medication O O O O O O O O O O O O O O O O O O O O O O O O O O	@USER Yeah , I got percs . Ion even take them things thou ion like the feeling .. I took one and felt like I was on cloud 1000 .. 😂 😂
O O O O O O O O O O O O O O O O O O O O B-Medication O O O	I had my eye removed today ! Feels much better ... had som tea and am now sleeping off my anaesthetic :) … URL
O O O O O B-Medication B-Medication O B-Medication O O O O O O O O O O O O O O	This heartburn is real . Nexium Gaviscon and Tums can't even fight it . Damn wings . They get me every time !
O O O O O O O O O O O O O O O O O O O O O O O B-Medication O O O O	I really don't want to get out but I don't think I'll ever get back to sleep if I don't go buy some tums . 😭 🤰 🏻
O O B-Medication O O O O O O O O	Thank you tylenol for doing absolutely nothing for my contractions 😒
O O O O O O O O B-Medication O O O O O O O O O O O O O	I've been so dead set against getting the epidural .. but FUUUUUUUCK this hurts worse than being hit by a car .
O O O O O O O O O O O B-Medication O O O O O O O O O O O O O O O O	@USER I've done the bath tub , heating pad , and Tylenol . They won't go away . It's miserable . I was up all night crying .
O O O O O O O O O O O O B-Medication I-Medication O O O	I'm going to be so drained today I forgot to take my iron pill ☹ ️ .
O O O O O B-Medication O O O O O O O O O	Jeremiah does a review on Melatonin ! Coming soon on our youtube channel :) URL
